Metric,Classical,QAOA_SPSA,QAOA_COBYLA,DQI
Optimal price / margin (CSV: best_profit),"1,551.73",789.22,N/A,N/A
Runtime (s),0.0449,150.0,N/A,N/A
Cost (shots) (CSV: num_samples_total),—,"9,216",N/A,N/A
