run_id,algorithm,bp_mode,package_index,package_name,objective_mode,objective_lower_bound,expanded_num_vars,num_constraints,B_rows,B_cols,ell,dqi_expected_f,dqi_expected_s,quantum_attempted,quantum_ran,quantum_postselected_shots,quantum_best_assignment,note
dqi_analytic_bp2_n4_m2_p1_20260405T103432Z,dqi,BP2,0,Young Driver Budget,compressed,4,4,3,143,66,1,11.012066841125488,77.00603485107422,1,0,,,"skipped full quantum simulation because reduced max-XOR has 143 rows, above row_limit=24"
dqi_analytic_bp2_n4_m2_p1_20260405T103432Z,dqi,BP2,1,Young Family Starter,compressed,4,4,3,143,66,1,11.027392387390137,77.0136947631836,1,0,,,"skipped full quantum simulation because reduced max-XOR has 143 rows, above row_limit=24"
