run_id,algorithm,optimizer,seed,N_local,M_blocks,n_total,p,lambda,runtime_sec,best_profit,classical_opt_profit,num_samples_total,num_samples_feasible,num_samples_postselected,num_objective_evals,num_qubits,circuit_depth,two_qubit_gate_count,solution_path,history_path,notes
qaoa_local_cobyla_n5_m2_p1_lamx2_515p360102-669p59724_20260405T093715Z,qaoa,cobyla,0,5,2,10,1,"[515.3601024000001, 669.5972399999999]",33.03172574999917,555.48182176,710.490566944,6144,1061,,48,8,,28,SOLUTIONS/HEURISTICS/solutions/qaoa_local_cobyla_n5_m2_p1_lamx2_515p360102-669p59724_20260405T093715Z_solution.csv,SOLUTIONS/HEURISTICS/histories/qaoa_local_cobyla_n5_m2_p1_lamx2_515p360102-669p59724_20260405T093715Z_history.csv,execution_target=local; optimizer=cobyla; num_samples_feasible counts per-evaluation package-local samples against original coverage constraints; two_qubit_gate_count is derived from generated QAOA zz_phase terms; compiled circuit depth is unavailable from the current guppylang/hugr package API; lambda stores one penalty value per package-local block
qaoa_local_spsa_n5_m2_p1_lamx2_515p360102-669p59724_20260405T093749Z,qaoa,spsa,0,5,2,10,1,"[515.3601024000001, 669.5972399999999]",32.92717533301038,306.787686144,710.490566944,6144,917,,48,8,,28,SOLUTIONS/HEURISTICS/solutions/qaoa_local_spsa_n5_m2_p1_lamx2_515p360102-669p59724_20260405T093749Z_solution.csv,SOLUTIONS/HEURISTICS/histories/qaoa_local_spsa_n5_m2_p1_lamx2_515p360102-669p59724_20260405T093749Z_history.csv,execution_target=local; optimizer=spsa; num_samples_feasible counts per-evaluation package-local samples against original coverage constraints; two_qubit_gate_count is derived from generated QAOA zz_phase terms; compiled circuit depth is unavailable from the current guppylang/hugr package API; lambda stores one penalty value per package-local block
qaoa_selene_random_batch_n20_m3_p1_cq1_fs1_lamx3_515p360102-669p59724-921p694313_20260405T093432Z,qaoa,random_batch,0,20,3,60,1,"[515.3601024000001, 669.5972399999999, 921.6943125]",273.4947456670052,1141.950950356,1690.990616436,1152,3,,24,23,,253,SOLUTIONS/HEURISTICS/solutions/qaoa_selene_random_batch_n20_m3_p1_cq1_fs1_lamx3_515p360102-669p59724-921p694313_20260405T093432Z_solution.csv,SOLUTIONS/HEURISTICS/histories/qaoa_selene_random_batch_n20_m3_p1_cq1_fs1_lamx3_515p360102-669p59724-921p694313_20260405T093432Z_history.csv,execution_target=selene; optimizer=random_batch; num_samples_feasible counts per-evaluation package-local samples against original coverage constraints; two_qubit_gate_count is derived from generated QAOA zz_phase terms; compiled circuit depth is unavailable from the current guppylang/hugr package API; lambda stores one penalty value per package-local block; compact_qubo: optional/incompat/dependency penalties without slack (capacity still uses slack); see qaoa.build_qubo_block_for_package(compact_penalties=True); fast_selene: batched theta search (one Nexus execute per package) + parallel packages; not SPSA/COBYLA — for wall-clock smoke tests only
qaoa_local_cobyla_n10_m2_p1_lamx2_515p360102-669p59724_20260405T094314Z,qaoa,cobyla,0,10,2,20,1,"[515.3601024000001, 669.5972399999999]",100.18193624999549,980.105365792,951.826602016,6144,621,,48,15,,82,SOLUTIONS/HEURISTICS/solutions/qaoa_local_cobyla_n10_m2_p1_lamx2_515p360102-669p59724_20260405T094314Z_solution.csv,SOLUTIONS/HEURISTICS/histories/qaoa_local_cobyla_n10_m2_p1_lamx2_515p360102-669p59724_20260405T094314Z_history.csv,execution_target=local; optimizer=cobyla; num_samples_feasible counts per-evaluation package-local samples against original coverage constraints; two_qubit_gate_count is derived from generated QAOA zz_phase terms; compiled circuit depth is unavailable from the current guppylang/hugr package API; lambda stores one penalty value per package-local block
qaoa_local_spsa_n10_m2_p1_lamx2_515p360102-669p59724_20260405T094457Z,qaoa,spsa,0,10,2,20,1,"[515.3601024000001, 669.5972399999999]",100.6439812079916,554.9795151840001,951.826602016,6144,529,,48,15,,82,SOLUTIONS/HEURISTICS/solutions/qaoa_local_spsa_n10_m2_p1_lamx2_515p360102-669p59724_20260405T094457Z_solution.csv,SOLUTIONS/HEURISTICS/histories/qaoa_local_spsa_n10_m2_p1_lamx2_515p360102-669p59724_20260405T094457Z_history.csv,execution_target=local; optimizer=spsa; num_samples_feasible counts per-evaluation package-local samples against original coverage constraints; two_qubit_gate_count is derived from generated QAOA zz_phase terms; compiled circuit depth is unavailable from the current guppylang/hugr package API; lambda stores one penalty value per package-local block
qaoa_local_cobyla_n5_m1_p2_lam515p360102_20260405T095244Z,qaoa,cobyla,0,5,1,5,2,515.36010240000007,22.161759167007403,198.85612032000003,334.4018808,3072,440,,24,8,,56,SOLUTIONS/HEURISTICS/solutions/qaoa_local_cobyla_n5_m1_p2_lam515p360102_20260405T095244Z_solution.csv,SOLUTIONS/HEURISTICS/histories/qaoa_local_cobyla_n5_m1_p2_lam515p360102_20260405T095244Z_history.csv,execution_target=local; optimizer=cobyla; num_samples_feasible counts per-evaluation package-local samples against original coverage constraints; two_qubit_gate_count is derived from generated QAOA zz_phase terms; compiled circuit depth is unavailable from the current guppylang/hugr package API
qaoa_local_spsa_n5_m1_p2_lam515p360102_20260405T095308Z,qaoa,spsa,0,5,1,5,2,515.36010240000007,21.060369332990376,265.22578992,334.4018808,3072,431,,24,8,,56,SOLUTIONS/HEURISTICS/solutions/qaoa_local_spsa_n5_m1_p2_lam515p360102_20260405T095308Z_solution.csv,SOLUTIONS/HEURISTICS/histories/qaoa_local_spsa_n5_m1_p2_lam515p360102_20260405T095308Z_history.csv,execution_target=local; optimizer=spsa; num_samples_feasible counts per-evaluation package-local samples against original coverage constraints; two_qubit_gate_count is derived from generated QAOA zz_phase terms; compiled circuit depth is unavailable from the current guppylang/hugr package API
qaoa_local_cobyla_n5_m2_p2_lamx2_515p360102-669p59724_20260405T095330Z,qaoa,cobyla,0,5,2,10,2,"[515.3601024000001, 669.5972399999999]",39.91275737498654,356.50079232,710.490566944,6144,910,,48,8,,56,SOLUTIONS/HEURISTICS/solutions/qaoa_local_cobyla_n5_m2_p2_lamx2_515p360102-669p59724_20260405T095330Z_solution.csv,SOLUTIONS/HEURISTICS/histories/qaoa_local_cobyla_n5_m2_p2_lamx2_515p360102-669p59724_20260405T095330Z_history.csv,execution_target=local; optimizer=cobyla; num_samples_feasible counts per-evaluation package-local samples against original coverage constraints; two_qubit_gate_count is derived from generated QAOA zz_phase terms; compiled circuit depth is unavailable from the current guppylang/hugr package API; lambda stores one penalty value per package-local block
qaoa_local_spsa_n5_m2_p2_lamx2_515p360102-669p59724_20260405T095411Z,qaoa,spsa,0,5,2,10,2,"[515.3601024000001, 669.5972399999999]",40.97329316599644,621.8514913600001,710.490566944,6144,874,,48,8,,56,SOLUTIONS/HEURISTICS/solutions/qaoa_local_spsa_n5_m2_p2_lamx2_515p360102-669p59724_20260405T095411Z_solution.csv,SOLUTIONS/HEURISTICS/histories/qaoa_local_spsa_n5_m2_p2_lamx2_515p360102-669p59724_20260405T095411Z_history.csv,execution_target=local; optimizer=spsa; num_samples_feasible counts per-evaluation package-local samples against original coverage constraints; two_qubit_gate_count is derived from generated QAOA zz_phase terms; compiled circuit depth is unavailable from the current guppylang/hugr package API; lambda stores one penalty value per package-local block
qaoa_local_spsa_n5_m3_p2_lamx3_515p360102-669p59724-921p694313_20260405T095454Z,qaoa,spsa,0,5,3,15,2,"[515.3601024000001, 669.5972399999999, 921.6943125]",60.32060612499481,1108.0341768600001,1196.673252444,9216,1453,,72,8,,56,SOLUTIONS/HEURISTICS/solutions/qaoa_local_spsa_n5_m3_p2_lamx3_515p360102-669p59724-921p694313_20260405T095454Z_solution.csv,SOLUTIONS/HEURISTICS/histories/qaoa_local_spsa_n5_m3_p2_lamx3_515p360102-669p59724-921p694313_20260405T095454Z_history.csv,execution_target=local; optimizer=spsa; num_samples_feasible counts per-evaluation package-local samples against original coverage constraints; two_qubit_gate_count is derived from generated QAOA zz_phase terms; compiled circuit depth is unavailable from the current guppylang/hugr package API; lambda stores one penalty value per package-local block
classical_na_na_n10_m1_pna_20260405T100040Z,classical,,,10,1,10,,,0.8698321250121808,454.34733052800004,454.34733052800004,,,,,,,,SOLUTIONS/HEURISTICS/solutions/classical_na_na_n10_m1_pna_20260405T100040Z_solution.csv,SOLUTIONS/HEURISTICS/histories/classical_na_na_n10_m1_pna_20260405T100040Z_history.csv,classical ILP baseline; configured seed=0 not used by solver
qaoa_local_cobyla_n10_m1_p1_lam515p360102_20260405T100040Z,qaoa,cobyla,0,10,1,10,1,515.36010240000007,51.46964795800159,522.316655328,454.34733052800004,3072,323,,24,15,,82,SOLUTIONS/HEURISTICS/solutions/qaoa_local_cobyla_n10_m1_p1_lam515p360102_20260405T100040Z_solution.csv,SOLUTIONS/HEURISTICS/histories/qaoa_local_cobyla_n10_m1_p1_lam515p360102_20260405T100040Z_history.csv,execution_target=local; optimizer=cobyla; num_samples_feasible counts per-evaluation package-local samples against original coverage constraints; two_qubit_gate_count is derived from generated QAOA zz_phase terms; compiled circuit depth is unavailable from the current guppylang/hugr package API
qaoa_local_spsa_n10_m1_p1_lam515p360102_20260405T100133Z,qaoa,spsa,0,10,1,10,1,515.36010240000007,50.878984499999206,276.70884945600005,454.34733052800004,3072,239,,24,15,,82,SOLUTIONS/HEURISTICS/solutions/qaoa_local_spsa_n10_m1_p1_lam515p360102_20260405T100133Z_solution.csv,SOLUTIONS/HEURISTICS/histories/qaoa_local_spsa_n10_m1_p1_lam515p360102_20260405T100133Z_history.csv,execution_target=local; optimizer=spsa; num_samples_feasible counts per-evaluation package-local samples against original coverage constraints; two_qubit_gate_count is derived from generated QAOA zz_phase terms; compiled circuit depth is unavailable from the current guppylang/hugr package API
qaoa_local_cobyla_n10_m1_p2_lam515p360102_20260405T100225Z,qaoa,cobyla,0,10,1,10,2,515.36010240000007,78.22052829200402,298.81894348800006,454.34733052800004,3072,300,,24,15,,164,SOLUTIONS/HEURISTICS/solutions/qaoa_local_cobyla_n10_m1_p2_lam515p360102_20260405T100225Z_solution.csv,SOLUTIONS/HEURISTICS/histories/qaoa_local_cobyla_n10_m1_p2_lam515p360102_20260405T100225Z_history.csv,execution_target=local; optimizer=cobyla; num_samples_feasible counts per-evaluation package-local samples against original coverage constraints; two_qubit_gate_count is derived from generated QAOA zz_phase terms; compiled circuit depth is unavailable from the current guppylang/hugr package API
qaoa_local_spsa_n10_m1_p2_lam515p360102_20260405T100345Z,qaoa,spsa,0,10,1,10,2,515.36010240000007,79.96763887500856,246.30071044800005,454.34733052800004,3072,232,,24,15,,164,SOLUTIONS/HEURISTICS/solutions/qaoa_local_spsa_n10_m1_p2_lam515p360102_20260405T100345Z_solution.csv,SOLUTIONS/HEURISTICS/histories/qaoa_local_spsa_n10_m1_p2_lam515p360102_20260405T100345Z_history.csv,execution_target=local; optimizer=spsa; num_samples_feasible counts per-evaluation package-local samples against original coverage constraints; two_qubit_gate_count is derived from generated QAOA zz_phase terms; compiled circuit depth is unavailable from the current guppylang/hugr package API
classical_na_na_n10_m2_pna_20260405T100730Z,classical,,,10,2,20,,,0.887472540998715,951.826602016,951.826602016,,,,,,,,SOLUTIONS/HEURISTICS/solutions/classical_na_na_n10_m2_pna_20260405T100730Z_solution.csv,SOLUTIONS/HEURISTICS/histories/classical_na_na_n10_m2_pna_20260405T100730Z_history.csv,classical ILP baseline; configured seed=0 not used by solver
qaoa_local_cobyla_n10_m2_p2_lamx2_515p360102-669p59724_20260405T100731Z,qaoa,cobyla,0,10,2,20,2,"[515.3601024000001, 669.5972399999999]",156.5286861659988,748.007294528,951.826602016,6144,544,,48,15,,164,SOLUTIONS/HEURISTICS/solutions/qaoa_local_cobyla_n10_m2_p2_lamx2_515p360102-669p59724_20260405T100731Z_solution.csv,SOLUTIONS/HEURISTICS/histories/qaoa_local_cobyla_n10_m2_p2_lamx2_515p360102-669p59724_20260405T100731Z_history.csv,execution_target=local; optimizer=cobyla; num_samples_feasible counts per-evaluation package-local samples against original coverage constraints; two_qubit_gate_count is derived from generated QAOA zz_phase terms; compiled circuit depth is unavailable from the current guppylang/hugr package API; lambda stores one penalty value per package-local block
