[package 2] eval 17: mean_energy=10998.190858, best_mean=6010.836249, best_sample=-376.088686, elapsed=0.76s
[package 2] eval 18: mean_energy=5895.908839, best_mean=5895.908839, best_sample=-179.880947, elapsed=0.78s (new best)
[package 2] eval 19: mean_energy=8991.094225, best_mean=5895.908839, best_sample=-199.343931, elapsed=0.76s
[package 2] eval 20: mean_energy=6733.666330, best_mean=5895.908839, best_sample=-179.880947, elapsed=0.76s
[package 2] eval 21: mean_energy=8041.415706, best_mean=5895.908839, best_sample=-376.088686, elapsed=0.76s
[package 2] eval 22: mean_energy=11556.776954, best_mean=5895.908839, best_sample=470.253309, elapsed=0.80s
[package 2] eval 23: mean_energy=6013.549356, best_mean=5895.908839, best_sample=-376.088686, elapsed=0.77s
[package 2] eval 24: mean_energy=8187.981589, best_mean=5895.908839, best_sample=-179.880947, elapsed=0.77s
[package 2] eval 25: mean_energy=8145.411934, best_mean=5895.908839, best_sample=-356.625701, elapsed=0.78s
[package 2] eval 26: mean_energy=9624.688377, best_mean=5895.908839, best_sample=-356.625701, elapsed=0.83s
[package 2] eval 27: mean_energy=5979.162116, best_mean=5895.908839, best_sample=-179.880947, elapsed=0.96s
[package 2] eval 28: mean_energy=8272.496547, best_mean=5895.908839, best_sample=-356.625701, elapsed=0.85s
[package 2] eval 29: mean_energy=8671.924373, best_mean=5895.908839, best_sample=-376.088686, elapsed=0.77s
[package 2] eval 30: mean_energy=9284.162761, best_mean=5895.908839, best_sample=-356.625701, elapsed=0.77s
[package 2] eval 31: mean_energy=6547.248090, best_mean=5895.908839, best_sample=-179.880947, elapsed=0.82s
[package 2] eval 32: mean_energy=8183.791687, best_mean=5895.908839, best_sample=-356.625701, elapsed=0.76s
[package 2] eval 33: mean_energy=4858.358329, best_mean=4858.358329, best_sample=-179.880947, elapsed=0.96s (new best)
[package 2] eval 34: mean_energy=5549.024706, best_mean=4858.358329, best_sample=-179.880947, elapsed=0.87s
[package 2] eval 35: mean_energy=4763.504391, best_mean=4763.504391, best_sample=-179.880947, elapsed=0.78s (new best)
[package 2] eval 36: mean_energy=6158.171250, best_mean=4763.504391, best_sample=-179.880947, elapsed=0.80s
[package 2] COBYLA finished after 36 evaluations with best_mean=4763.504391
[package 3] Starting COBYLA on 8 qubits (5 coverage + 3 slack), shots=256, maxiter=40
[package 3] eval 1: mean_energy=9981.776244, best_mean=9981.776244, best_sample=-486.182686, elapsed=1.69s (new best)
[package 3] eval 2: mean_energy=9401.346740, best_mean=9401.346740, best_sample=-486.182686, elapsed=0.79s (new best)
[package 3] eval 3: mean_energy=9022.514224, best_mean=9022.514224, best_sample=-486.182686, elapsed=0.75s (new best)
[package 3] eval 4: mean_energy=17137.432373, best_mean=9022.514224, best_sample=704.260963, elapsed=0.82s
[package 3] eval 5: mean_energy=13655.438372, best_mean=9022.514224, best_sample=-133.667002, elapsed=0.77s
[package 3] eval 6: mean_energy=16105.572826, best_mean=9022.514224, best_sample=727.914713, elapsed=0.79s
[package 3] eval 7: mean_energy=11512.276054, best_mean=9022.514224, best_sample=-217.433349, elapsed=1.01s
[package 3] eval 8: mean_energy=9637.373292, best_mean=9022.514224, best_sample=-486.182686, elapsed=0.97s
[package 3] eval 9: mean_energy=10962.611914, best_mean=9022.514224, best_sample=-486.182686, elapsed=0.81s
[package 3] eval 10: mean_energy=8951.806677, best_mean=8951.806677, best_sample=-486.182686, elapsed=0.78s (new best)
[package 3] eval 11: mean_energy=10820.541113, best_mean=8951.806677, best_sample=-486.182686, elapsed=0.77s
[package 3] eval 12: mean_energy=11419.231090, best_mean=8951.806677, best_sample=-486.182686, elapsed=0.78s
[package 3] eval 13: mean_energy=10213.970100, best_mean=8951.806677, best_sample=-486.182686, elapsed=0.78s
[package 3] eval 14: mean_energy=10145.791965, best_mean=8951.806677, best_sample=-486.182686, elapsed=0.78s
[package 3] eval 15: mean_energy=10561.193245, best_mean=8951.806677, best_sample=-486.182686, elapsed=0.84s
[package 3] eval 16: mean_energy=10397.751927, best_mean=8951.806677, best_sample=-486.182686, elapsed=0.78s
[package 3] eval 17: mean_energy=9995.159673, best_mean=8951.806677, best_sample=-486.182686, elapsed=0.77s
[package 3] eval 18: mean_energy=10252.159835, best_mean=8951.806677, best_sample=-486.182686, elapsed=0.78s
[package 3] eval 19: mean_energy=8935.550724, best_mean=8935.550724, best_sample=-486.182686, elapsed=0.78s (new best)
[package 3] eval 20: mean_energy=9990.467238, best_mean=8935.550724, best_sample=-486.182686, elapsed=0.79s
[package 3] eval 21: mean_energy=9993.780706, best_mean=8935.550724, best_sample=-486.182686, elapsed=0.91s
[package 3] eval 22: mean_energy=9479.721402, best_mean=8935.550724, best_sample=-486.182686, elapsed=0.78s
[package 3] eval 23: mean_energy=9769.892142, best_mean=8935.550724, best_sample=-486.182686, elapsed=0.77s
[package 3] eval 24: mean_energy=9031.122271, best_mean=8935.550724, best_sample=-486.182686, elapsed=0.88s
[package 3] eval 25: mean_energy=10187.991609, best_mean=8935.550724, best_sample=-486.182686, elapsed=0.93s
[package 3] eval 26: mean_energy=9648.819047, best_mean=8935.550724, best_sample=-486.182686, elapsed=0.88s
[package 3] eval 27: mean_energy=10280.864856, best_mean=8935.550724, best_sample=-486.182686, elapsed=0.90s
[package 3] eval 28: mean_energy=9112.891365, best_mean=8935.550724, best_sample=-486.182686, elapsed=1.37s
[package 3] eval 29: mean_energy=9008.647636, best_mean=8935.550724, best_sample=-486.182686, elapsed=0.84s
[package 3] eval 30: mean_energy=11842.466819, best_mean=8935.550724, best_sample=-486.182686, elapsed=0.78s
[package 3] eval 31: mean_energy=8641.696895, best_mean=8641.696895, best_sample=-486.182686, elapsed=0.78s (new best)
[package 3] eval 32: mean_energy=8909.603991, best_mean=8641.696895, best_sample=-486.182686, elapsed=0.77s
[package 3] eval 33: mean_energy=8716.056895, best_mean=8641.696895, best_sample=-486.182686, elapsed=0.79s
[package 3] eval 34: mean_energy=8812.918588, best_mean=8641.696895, best_sample=-486.182686, elapsed=0.77s
[package 3] COBYLA finished after 34 evaluations with best_mean=8641.696895
Saved summary to SOLUTIONS/HEURISTICS/summaries/qaoa_local_cobyla_n5_m3_p2_lamx3_687p146803-892p79632-1228p92575_20260405T072647Z_summary.csv
Saved solution to SOLUTIONS/HEURISTICS/solutions/qaoa_local_cobyla_n5_m3_p2_lamx3_687p146803-892p79632-1228p92575_20260405T072647Z_solution.csv
Saved history to SOLUTIONS/HEURISTICS/histories/qaoa_local_cobyla_n5_m3_p2_lamx3_687p146803-892p79632-1228p92575_20260405T072647Z_history.csv
